tag,fused,head,f1_mean,f1_std,delta_vs_lin_adamw,best
simdinov2_vitb16_FROZEN_fused_ctx512_frac100_seed0,True,mlp2,0.4856,0.0034,-0.0032,"(512, 0.5, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx512_frac100_seed0,True,bil_diag,0.4883,0.0089,-0.0005,"(256, 0.2, 0.0)"
simdinov2_vitb16_FROZEN_fused_ctx512_frac100_seed0,True,film,0.4932,0.0085,0.0043,"(512, 0.5, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_lbfgs,0.4975,0.0,,0.001
simdinov2_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_adamw,0.4879,0.0019,,"(0, 0.0, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,mlp2,0.4904,0.0056,0.0025,"(256, 0.5, 0.0001)"
simdinov2_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,bil_diag,0.4818,0.0133,-0.0061,"(256, 0.5, 0.0001)"
simdinov2_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,film,0.4783,0.0136,-0.0096,"(256, 0.5, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_lbfgs,0.4733,0.0,,0.001
simdinov2_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_adamw,0.4772,0.0066,,"(0, 0.0, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,mlp2,0.4763,0.0064,-0.001,"(256, 0.5, 0.0001)"
simdinov2_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,bil_diag,0.4711,0.0216,-0.0061,"(256, 0.2, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,film,0.4677,0.0124,-0.0095,"(512, 0.5, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,lin_lbfgs,0.5022,0.0,,0.001
simdinov2_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,lin_adamw,0.4912,0.0007,,"(0, 0.0, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,mlp2,0.483,0.007,-0.0082,"(256, 0.5, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,bil_diag,0.4877,0.0078,-0.0035,"(256, 0.5, 0.0)"
simdinov2_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,film,0.4776,0.0162,-0.0136,"(256, 0.5, 0.0)"
