model,display,type,init,pipeline,fraction,n_train_tiles,seed,f1_pres,f1_pres_val,f1_8cls,accuracy,best_epoch,best_C,probe,run_dir,f1_ALDE,f1_ARCA,f1_BIRC,f1_DRYI,f1_LICH,f1_MOSS,f1_PETF,f1_RUBC,f1_SEDG,f1_TUSS,f1_WILL
simdinov2_vitl16_lora,SimDINOv2 ViT-L/16 LoRA r=8,ft_fresh,SimDINOv2-L,lora_3models,1.0,49281,2,0.49108009972239514,0.4790702542718533,0.6752351371182932,0.7325264234572111,18,0.0001,interne_run,ViTB_L_LoRA/lora_3models/runs/simdinov2_vitl16_lora_frac100_seed2,0.9591465001301067,0.0,0.8542634127062543,0.0,0.646484375,0.5399768250289687,0.5312157721796276,0.0,0.6247096092925026,0.759215915740199,0.4868686868686869
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.01,492,0,0.41283424573616506,0.4168570197710515,0.567647087887227,0.6447323559495397,41,0.01,interne_run,sota_screening/full/runs/frac001_seed0,0.8071203244704822,0.0,0.7908400168847615,0.0,0.5714285714285714,0.46997084548104956,0.3787815996684625,0.0,0.5324537135560757,0.6977155490051584,0.2928660826032541
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.01,492,1,0.4316129081911014,0.4307151969718028,0.5934677487627644,0.658313444709626,30,0.01,interne_run,sota_screening/full/runs/frac001_seed1,0.9323149855148801,0.0,0.8275395905755117,0.0,0.5840236686390533,0.3823008849557522,0.3887222555488902,0.0,0.5170549084858569,0.6551115390787996,0.4606741573033708
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.01,492,2,0.4025636155298523,0.4179379520741077,0.553524971353547,0.6268894192521878,16,0.1,interne_run,sota_screening/full/runs/frac001_seed2,0.7968413496051687,0.0,0.7584426314158835,0.0,0.6178403755868545,0.37268770402611534,0.28829847371396267,0.0,0.5191765980498375,0.7065442700621853,0.3683683683683684
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.05,2463,0,0.451532058068472,0.4613303319840446,0.620856579844149,0.6851914990339811,17,0.001,interne_run,sota_screening/full/runs/frac005_seed0,0.9497148781752203,0.0,0.7927545031370168,0.0,0.6227544910179641,0.41840731070496084,0.4795377948964853,0.0,0.6030793841231754,0.7358573307995907,0.3647469458987784
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.05,2463,1,0.46485305224037626,0.4687959476413486,0.6391729468305174,0.695988180475054,27,0.001,interne_run,sota_screening/full/runs/frac005_seed1,0.9483568075117371,0.0,0.8183453237410072,0.0,0.6207923741435806,0.44911846582121867,0.4890738813735692,0.0,0.609552366673806,0.7181088314005353,0.46003552397868563
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.05,2463,2,0.45991868205787567,0.45591510691202636,0.6323881878295791,0.6971814978974884,16,0.001,interne_run,sota_screening/full/runs/frac005_seed2,0.9590921087358142,0.0,0.8353925866879235,0.0,0.597004765146358,0.4581717451523546,0.3912772585669782,0.0,0.5990666100975817,0.7264895908111989,0.49261083743842365
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.1,4927,0,0.4636895926148124,0.47060057427084384,0.637573189845367,0.6993976588248665,11,0.001,interne_run,sota_screening/full/runs/frac010_seed0,0.9509981851179673,0.0,0.8243105209397344,0.0,0.6355323318092749,0.4482331060136392,0.48951048951048953,0.0,0.5922229153670202,0.7390129426824065,0.4207650273224044
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.1,4927,1,0.46929745729553196,0.468091501116278,0.6452840037813565,0.700079554494829,11,0.001,interne_run,sota_screening/full/runs/frac010_seed1,0.9563846558066211,0.0,0.8189716855770214,0.0,0.6152845528455284,0.4821320411871593,0.4997521070897372,0.0,0.6096877502001601,0.7311509406013924,0.4489082969432314
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.1,4927,2,0.4734357931769899,0.47809259522773995,0.6509742156183611,0.7068985111944539,9,0.001,interne_run,sota_screening/full/runs/frac010_seed2,0.9589257503949447,0.0,0.8252602081665332,0.0,0.6281661600810537,0.4847588043799941,0.4697209057398631,0.0,0.6127167630057804,0.7389978213507625,0.489247311827957
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.25,12320,0,0.4703304810826526,0.47646396435278987,0.6467044114886473,0.7045118763495852,11,0.001,interne_run,sota_screening/full/runs/frac025_seed0,0.9537662337662338,0.0,0.8141481791544579,0.0,0.63344969850841,0.4877606527651859,0.4869750132908028,0.0,0.6148705096073517,0.7530707327403643,0.4295942720763723
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.25,12320,1,0.465891134513712,0.46606513719575715,0.640600309956354,0.6995681327423571,18,0.001,interne_run,sota_screening/full/runs/frac025_seed1,0.956020942408377,0.0,0.8141681717840659,0.0,0.634807878592186,0.45339895416794834,0.5051975051975052,0.0,0.5879299156391953,0.7462387161484454,0.427040395713108
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.25,12320,2,0.47726196363302137,0.4762355469430068,0.6562351999954044,0.71309239686328,16,0.001,interne_run,sota_screening/full/runs/frac025_seed2,0.957680250783699,0.0,0.8315239244069159,0.0,0.6322207958921694,0.4771696401572422,0.48777777777777775,0.0,0.6173744341452899,0.7517527543282301,0.4943820224719101
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.5,24639,0,0.47437302003647147,0.48577284836671203,0.6522629025501483,0.7065575633594726,11,0.001,interne_run,sota_screening/full/runs/frac050_seed0,0.9574301384173414,0.0,0.8257137153124376,0.0,0.6429026098026734,0.48087110064743965,0.4986301369863014,0.0,0.5956709956709957,0.7410595043775041,0.4758250191864927
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.5,24639,1,0.4543463660510284,0.4717328905633771,0.6247262533201641,0.6835435844982385,22,0.001,interne_run,sota_screening/full/runs/frac050_seed1,0.9552941176470588,0.0,0.800161648817943,0.0,0.6183699870633894,0.4753722794959908,0.4645019262520638,0.0,0.5737453429761122,0.7266518188567186,0.3837129054520359
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.5,24639,2,0.4793746294034498,0.4737802753042489,0.6591401154297436,0.7150812592340039,8,0.001,interne_run,sota_screening/full/runs/frac050_seed2,0.9597490852064819,0.0,0.8321959052589322,0.0,0.6431522084524944,0.4835820895522388,0.516093229744728,0.0,0.6135129263523789,0.7549745824255628,0.46986089644513135
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.7,34497,0,0.4625152649347836,0.4850318397445348,0.6359584892853274,0.6925787021252415,19,0.001,interne_run,sota_screening/full/runs/frac070_seed0,0.9562483625884203,0.0,0.8174430128840436,0.0,0.6162373655037496,0.48515406162464986,0.44687842278203727,0.0,0.5820598006644518,0.718922961854899,0.4647239263803681
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.7,34497,1,0.4724274690939941,0.47872737827721007,0.6474138569607637,0.7028639618138425,13,0.001,interne_run,sota_screening/full/runs/frac070_seed1,0.9568852887379148,0.017391304347826087,0.8206461938581574,0.0,0.6465218759836323,0.4823096518539485,0.49174917491749176,0.0,0.5873015873015873,0.7394262052647146,0.45447087776866285
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.7,34497,2,0.4673418035834054,0.4786822755193311,0.6404398075133892,0.6983748153199227,17,0.001,interne_run,sota_screening/full/runs/frac070_seed2,0.955909209496478,0.017241379310344827,0.8294427336843151,0.0,0.6213408876298395,0.45759817871371655,0.47828539199097575,0.0,0.5843137254901961,0.7311795642374155,0.4654487688641779
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,1.0,49281,0,0.4736252945328187,0.4827674816322673,0.6512347799826257,0.7092851460393227,18,0.0001,interne_run,sota_screening/full/runs/frac100_seed0,0.9572025052192067,0.0,0.8298846000795862,0.0,0.6374881065651761,0.5110606920022689,0.49377123442808607,0.0,0.5909289140863497,0.741678939617084,0.4478632478632479
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,1.0,49281,1,0.4764332258769319,0.4753411724535846,0.6529405131669883,0.7095692692351404,9,0.001,interne_run,sota_screening/full/runs/frac100_seed1,0.9573856209150327,0.017241379310344827,0.8323920935861234,0.0,0.6394169835234474,0.4943883277216611,0.4894795127353267,0.0,0.6040239726027398,0.7450281982784209,0.46140939597315433
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,1.0,49281,2,0.4739588142878791,0.4810186422976107,0.6495003871896934,0.7051937720195477,11,0.001,interne_run,sota_screening/full/runs/frac100_seed2,0.9569976544175137,0.017543859649122806,0.8272754580955242,0.0,0.6390197926484449,0.5015205971799834,0.4857309260337799,0.0,0.5840363400389358,0.7403730445246691,0.4610492845786963
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.01,492,0,0.41043569682126724,0.4068929183694369,0.5643490831292425,0.6449596545061939,45,0.01,interne_run,sota_screening/mhsa/runs/frac001_seed0,0.7648590021691974,0.0,0.7829317482220571,0.0,0.5618874773139746,0.49944008958566627,0.36913357400722024,0.0,0.5552444540167994,0.7070824832410376,0.2742138364779874
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.01,492,1,0.4154882738287382,0.41915161580750504,0.571296376514515,0.6449596545061939,31,0.01,interne_run,sota_screening/mhsa/runs/frac001_seed1,0.9042694245558207,0.0,0.8058319377401241,0.0,0.5984779299847793,0.37377238590410167,0.31322033898305085,0.0,0.5074989866234293,0.6716784289659404,0.3956215793588741
