model,display,fraction,n_train_tiles,n_seeds,ALDE,ALDE_std,ARCA,ARCA_std,BIRC,BIRC_std,DRYI,DRYI_std,LICH,LICH_std,MOSS,MOSS_std,PETF,PETF_std,RUBC,RUBC_std,SEDG,SEDG_std,TUSS,TUSS_std,WILL,WILL_std
simdinov2_vitb16_lora_r16,SimDINOv2-B LoRA r16,1.0,49281,3,0.9537492747507046,0.0023855408585327625,0.0,0.0,0.8418656475496032,0.002339842790801591,0.0,0.0,0.6312824324693468,0.004603330355476758,0.516222703293382,0.006822635269751751,0.4913432609060125,0.00555710948135288,0.0,0.0,0.598449745062689,0.004121662348683869,0.7384480583219984,0.007894787953883741,0.47480139926587056,0.0039901647335759596
simdinov2_vitb16_lora_r16_rslora,SimDINOv2-B LoRA r16 (rsLoRA),1.0,49281,3,0.9536884644019613,0.0029683668107313957,0.011594202898550725,0.0200817484935522,0.8401787805141199,0.0021796985221806137,0.0,0.0,0.6316803543494106,0.0059926072174854355,0.5043173054088269,0.005341293920039673,0.4747447424918542,0.02068877320284454,0.0,0.0,0.5905008789168762,0.011670487138976513,0.7355177644175116,0.006337994763277846,0.46701910194501967,0.016830660631565096
simdinov2_vitb16_lora_r16_s2,SimDINOv2-B LoRA r16 (scaling 2),1.0,49281,3,0.9544140177073098,0.0004220738650471072,0.0,0.0,0.8410724737979808,0.0004112222682166797,0.0,0.0,0.6332190647159363,0.00287422813073205,0.5159115009280236,0.0020010179025207707,0.47915043252666784,0.022281668117694844,0.0,0.0,0.5964248277128731,0.003763160269674158,0.7365484794370799,0.006345326369877855,0.46800193128481626,0.008030486241542237
simdinov2_vitb16_lora_r2,SimDINOv2-B LoRA r2,1.0,49281,3,0.9548704739705905,0.0018989634880483871,0.0,0.0,0.8440474166284414,0.002429626796172652,0.0,0.0,0.6337500098079295,0.008547624336000663,0.5128257561445534,0.004183796558241846,0.5042180039026485,0.009972152780957895,0.0,0.0,0.6046049449444407,0.004443545534466973,0.7429894647234706,0.006755077663760968,0.47563567360302,0.009184774538022475
simdinov2_vitb16_lora_r32,SimDINOv2-B LoRA r32,1.0,49281,3,0.9542058756524378,0.0031605388370920338,0.0,0.0,0.8408776846836173,0.001086750046729636,0.0,0.0,0.6342992812494241,0.003085272319741417,0.5134069021469924,0.005404960435887261,0.48227008749935,0.018514325821743408,0.0,0.0,0.5932552478747192,0.006307817292491597,0.7355988306846087,0.006600339211678373,0.4721082456431403,0.003356506776701763
simdinov2_vitb16_lora_r4,SimDINOv2-B LoRA r4,1.0,49281,3,0.955424590926745,0.0006755048950030337,0.0,0.0,0.8412636133680905,0.004097313673314737,0.0,0.0,0.6346661316029464,0.009397316814969794,0.5116871848259019,0.003817248246890816,0.5076673194043086,0.016222402699415522,0.0,0.0,0.6036532588934446,0.0027995751970663796,0.7396810874078374,0.00620057901525398,0.46970635922954623,0.029354524249576103
simdinov2_vitb16_lora_r8_b05,SimDINOv2-B LoRA r8 (blocs 0-5),1.0,49281,3,0.9518452455680423,0.00254228078412361,0.0,0.0,0.8402470590718426,0.0036970303082906877,0.0,0.0,0.6383640410645092,0.002439701782866151,0.5097201222173968,0.005153419547325562,0.5169039315506089,0.006801492622608365,0.0,0.0,0.6021004849052268,0.0016267490065491905,0.7377953700797422,0.0037625060219111,0.45057563235389847,0.009751828610099543
simdinov2_vitb16_lora_r8_b611,SimDINOv2-B LoRA r8 (blocs 6-11),1.0,49281,3,0.9554650603794638,0.0016191947178647084,0.0,0.0,0.8423354250099168,0.0013400146456787295,0.0,0.0,0.6360532072229449,0.00976683829263325,0.511333507735644,0.014495752084599906,0.5031640277342444,0.01953450601267999,0.0,0.0,0.6071764334403379,0.0054049280364761474,0.7428540183770697,0.005196218421369299,0.4835072234920934,0.005372010849416937
simdinov2_vitb16_lora_r8_b911,SimDINOv2-B LoRA r8 (blocs 9-11),1.0,49281,3,0.956764613354713,0.001345551615577002,0.0,0.0,0.8348931570058015,0.0013440918590643127,0.0,0.0,0.6460267546589339,0.0032946645280297364,0.5114655900631232,0.008101538510342574,0.5154001330171765,0.0060250919247495874,0.0,0.0,0.6103519987408329,0.0023727575054348317,0.7361039034410742,0.0028933494513865878,0.47493981609247427,0.0035081391083916845
simdinov2_vitb16_lora_r8_qkv,SimDINOv2-B LoRA r8 (Q+K+V),1.0,49281,3,0.9557929285568144,0.0035263479157297533,0.0,0.0,0.841819297871885,0.003916228497623833,0.0,0.0,0.6390936087739701,0.003911229402645354,0.517712288351366,0.01123537507894421,0.5151103869349615,0.02761955916516886,0.0,0.0,0.60283365133618,0.0029080085776473047,0.7422031626524582,0.004751894679308681,0.47884078064718266,0.013036411343596187
