population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
frozen,11,nc1_canonical,NC1 — dispersion intra / inter,0.8000000000000002,0.28970412366567744,0.9813105846555095,0.0031104283103858456,0.008886938029673845,True,True,0.7333333333333332,0.8909090909090909
frozen,11,silhouette,Silhouette,0.8000000000000002,0.32685185185185184,0.990521327014218,0.0031104283103858456,0.008886938029673845,True,True,0.7454545454545454,0.9151515151515152
frozen,11,dbi,Davies-Bouldin,-0.05454545454545456,-0.6111176935229067,0.5234748182762196,0.8734465775233149,0.9154683168905347,False,False,-0.28484848484848485,0.06666666666666665
frozen,11,chi,Calinski-Harabasz,-0.8000000000000002,-0.9813105846555095,-0.2897041236656775,0.0031104283103858456,0.008886938029673845,True,True,-0.8909090909090909,-0.7333333333333332
frozen,11,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.5,-0.9052244478225878,0.32700581395348793,0.11730680301423817,0.15640907068565088,False,False,-0.6484848484848483,-0.33333333333333326
frozen,11,logme_train,LogME (train),0.6181818181818182,0.023474178403755864,0.9320632229293444,0.04264556980532674,0.08529113961065347,True,False,0.5393939393939393,0.7575757575757575
frozen,11,logme_test,LogME (test),0.41818181818181827,-0.274548660861898,0.8400280373831773,0.20057021703405048,0.2507127712925631,False,False,0.23636363636363633,0.5636363636363636
top35,35,rankme_sigma_raw,"RankMe (σ, bruts)",0.041605380199880526,-0.4030428197490587,0.4456203984932427,0.8124208069888778,0.8551797968303976,False,False,-0.03514938580929247,0.13631848757342993
top35,35,rankme_sigma_centered,"RankMe (σ, centrés)",-0.06443930940048836,-0.46463649644014654,0.3512424434307782,0.7130480716207707,0.8388800842597303,False,False,-0.15083671214683336,0.02063116123588906
top35,35,eff_rank_sigma2,"Rang effectif (σ², centrés)",-0.2448693757218558,-0.5882984847998963,0.15392695471080864,0.15626536461527632,0.26044227435879386,False,False,-0.31463936797681763,-0.18506915745675295
top35,35,rankme_sigma_raw_norm,RankMe (σ) normalisé,-0.3041255232792614,-0.6542615785070213,0.10447194643261737,0.07569485743890265,0.18923714359725663,False,False,-0.41384581205027826,-0.25490945882565147
top35,35,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,-0.37080619996324504,-0.7553677982039162,0.05130692644615766,0.028315090700721208,0.08090025914491773,False,False,-0.48506152416823606,-0.3135936507855137
top35,35,stable_rank,Stable rank (= NESum),-0.19738040640280022,-0.5467197944471521,0.18697091846802225,0.2557328577836267,0.35210926127176145,False,False,-0.275999090311227,-0.12989990407781998
top35,35,participation_ratio,Participation ratio,-0.22147510470037415,-0.5755954743462867,0.17190960730394758,0.20102819632506916,0.3092741481924141,False,False,-0.30012225289289446,-0.15740811905900542
top35,35,alpha_spectral,Exposant spectral α,0.27456749222816784,-0.13017668917637412,0.6128209349347187,0.11043969105649946,0.23009713892582756,False,False,0.20860396360732272,0.3572738428022338
top35,35,aniso_cosine,Anisotropie (cosinus moyen),-0.2712054413029249,-0.5682236163656739,0.10635410099900816,0.11504856946291377,0.23009713892582756,False,False,-0.3288759924417278,-0.20982655093981983
top35,35,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),0.42179730566276186,0.012709811784352338,0.7665928078098805,0.011610527936869503,0.04644211174747801,True,True,0.3796133667403587,0.5510812401230811
top35,35,fisher_ratio,Ratio de Fisher,0.48315473504844425,0.1324190362010739,0.7656111940254086,0.0032818099929321156,0.04644211174747801,True,True,0.43615803086835087,0.5675861691117924
top35,35,knn_purity,Pureté k-NN (k=10),0.24739091391578794,-0.1408539059302808,0.59067996055933,0.15191121985144446,0.26044227435879386,False,False,0.17895622079426732,0.32933446269141425
top35,35,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.19401835547755736,-0.5156433375672493,0.188174930776075,0.2640819459538211,0.35210926127176145,False,False,-0.26407886381937995,-0.12073049908409153
top35,35,nc1_canonical,NC1 — dispersion intra / inter,-0.42866149296846606,-0.7305008255370168,-0.07374957777610547,0.010191306305533093,0.04644211174747801,True,True,-0.5176129118959722,-0.38282265848816366
top35,35,silhouette,Silhouette,0.37626953271676467,0.03957934658899529,0.6545309404151906,0.02589497138052575,0.08090025914491773,True,False,0.32413846652830147,0.4564835452711157
top35,35,dbi,Davies-Bouldin,-0.43160328752805355,-0.734276217211311,-0.07504074855904148,0.009629765434844196,0.04644211174747801,True,True,-0.49866280824226666,-0.38175289457222866
top35,35,chi,Calinski-Harabasz,0.42978217661021373,0.07948827940830695,0.7280931443248332,0.009974194394544151,0.04644211174747801,True,True,0.3840452458206608,0.5188354992284693
