model,display,type,init,pipeline,fraction,n_train_tiles,n_seeds,f1_pres_mean,f1_pres_std,f1_pres_min,f1_pres_max,f1_8cls_mean,f1_8cls_std,accuracy_mean,accuracy_std,best_epoch_mean,best_epoch_min,best_epoch_max,best_C_mode
dinov3_vitl16_lvd_lora,DINOv3 ViT-L/16 LoRA r=8,ft_fresh,DINOv3-L,lora_3models,1.0,49281,3,0.4841750080797749,0.0012247823912359635,0.48325691107103325,0.48556567631224645,0.6657406361096906,0.0016840757879494537,0.723491305830208,0.0013673382674753804,25.0,19,32,0.0001
resnet50_fulft_sota,ResNet-50 IN-FT,ft_old,ImageNet,sota_screening,1.0,49281,3,0.4573036358386559,0.003171665178075986,0.45406643629808596,0.4604054295789664,0.6287924992781518,0.004361039619854401,0.6912717354244801,0.002670758040686394,29.0,21,33,0.0001
simdinov2_vitb16_full,SimDINOv2 ViT-B/16 Full,ft_fresh,SimDINOv2-B,ft_ssl,1.0,49281,3,0.4781627498055189,0.007426083454741177,0.46960268938816174,0.4828795175957917,0.6574737809825887,0.010210864750269194,0.7161419858317233,0.008745519349512322,13.666666666666666,11,19,0.0001
simdinov2_vitb16_lora,SimDINOv2 ViT-B/16 LoRA r=8,ft_fresh,SimDINOv2-B,lora_3models,1.0,49281,3,0.4780865368751832,0.002852656250791258,0.47600860066694817,0.4813389374994056,0.6573689882033769,0.0039224023448380255,0.7144751297495927,0.0031435549258288617,15.0,13,19,0.001
simdinov2_vitb16_lora_r16,SimDINOv2-B LoRA r16,ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.47692386560178246,0.0017262490789395296,0.4753270192975631,0.4787554863599024,0.6557703152024509,0.002373592483541749,0.7133765200590977,0.0033507268980123976,13.0,13,13,0.001
simdinov2_vitb16_lora_r16_rslora,SimDINOv2-B LoRA r16 (rsLoRA),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.4735674177585574,0.003491604166508769,0.46975871683399734,0.47661704006892547,0.6497059240556975,0.0033345067721898916,0.7092662044929349,0.0017691850481244991,14.666666666666666,13,18,0.001
simdinov2_vitb16_lora_r16_s2,SimDINOv2-B LoRA r16 (scaling 2),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.4749766116464262,0.0025678418332232703,0.472252623768987,0.47735286847667086,0.653092841013836,0.003530782520681996,0.711974845626397,0.002471926232745774,14.666666666666666,13,18,0.001
simdinov2_vitb16_lora_r2,SimDINOv2-B LoRA r2,ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.479358340338645,0.002349474761955326,0.4778291029051887,0.48206360490435024,0.6591177179656369,0.0032305277976884712,0.716539758305868,0.0029336780538014974,14.666666666666666,13,18,0.001
simdinov2_vitb16_lora_r32,SimDINOv2-B LoRA r32,ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.47509292322129903,0.0020274122796837654,0.473490727430972,0.4773722386372985,0.6532527694292861,0.002787691884565142,0.7111982422244951,0.002139304906390169,13.0,13,13,0.001
simdinov2_vitb16_lora_r4,SimDINOv2-B LoRA r4,ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.47852268596898373,0.004947804108747172,0.4743908684379192,0.48400573219385623,0.6579686932073526,0.006803230649527386,0.7145508959351442,0.004747607067427101,18.666666666666668,11,32,0.001
simdinov2_vitb16_lora_r8_b05,SimDINOv2-B LoRA r8 (blocs 0-5),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.47705017152829704,0.0022251533266665438,0.47455861310779485,0.4788394668883484,0.6559439858514083,0.0030595858241665823,0.7127703905746866,0.0023610164598896134,33.666666666666664,28,41,0.001
simdinov2_vitb16_lora_r8_b611,SimDINOv2-B LoRA r8 (blocs 6-11),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.4801717184901559,0.002863708938897456,0.4771068770165828,0.4827792619841757,0.6602361129239643,0.003937599790984002,0.7167859984089101,0.0025797384845587783,16.333333333333332,13,18,0.001
simdinov2_vitb16_lora_r8_b911,SimDINOv2-B LoRA r8 (blocs 9-11),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.4805405423976481,0.000216632369138359,0.4803075438960653,0.4807358664989222,0.6607432457967661,0.00029786950756518864,0.7148160775845741,0.0007059379911953616,18.0,18,18,0.001
simdinov2_vitb16_lora_r8_qkv,SimDINOv2-B LoRA r8 (Q+K+V),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.4812187368295289,0.005361697828468204,0.4770229280617556,0.4872592539501687,0.6616757631406022,0.007372334514143733,0.7172784786149942,0.005588590834292276,13.0,13,13,0.001
simdinov2_vitb16_lora_r8_rslora,SimDINOv2-B LoRA r8 (rsLoRA),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.47534261736044764,0.0021372858845809845,0.4733834240261846,0.4776218917036449,0.6535960988706155,0.002938768091298855,0.711974845626397,0.00236579838557352,16.333333333333332,13,18,0.001
simdinov2_vitb16_lora_r8_s2,SimDINOv2-B LoRA r8 (scaling 2),ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.476065304441835,0.0017733857011730106,0.4747647467394824,0.47808536761627657,0.6545897936075231,0.0024384053391128604,0.7125620335644202,0.0023404118302956323,16.333333333333332,13,18,0.001
simdinov2_vitb16_mhsa,SimDINOv2 ViT-B/16 MHSA,ft_fresh,SimDINOv2-B,ft_ssl,1.0,49281,3,0.46904206227358286,0.0022074965927754843,0.46695589087258244,0.4713535950054373,0.642739853170036,0.003035307815066312,0.7025608970716369,0.0023404118302956696,12.333333333333334,11,13,0.001
simdinov2_vitb16_norm_tuning,SimDINOv2-B NormTuning,ft_fresh,SimDINOv2-B,simb_stageA,1.0,49281,3,0.47810824419246706,0.0003519154684683387,0.4777051257469362,0.47835414454852754,0.6573988357646422,0.0004838837691439713,0.7119369625336213,0.0003608849278944436,18.0,18,18,0.001
simdinov2_vitl16_lora,SimDINOv2 ViT-L/16 LoRA r=8,ft_fresh,SimDINOv2-L,lora_3models,1.0,49281,3,0.4833880286957488,0.006783365686539989,0.47826211720089495,0.49108009972239514,0.6631965511525609,0.010573204992831252,0.7226578777891427,0.008731847442615202,18.666666666666668,18,19,0.001
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.01,492,3,0.41567025648570627,0.014730837340706722,0.4025636155298523,0.4316129081911014,0.5715466026678461,0.020254901343471757,0.6433117399704512,0.01576010648147605,29.0,16,41,0.01
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.05,2463,3,0.45876793078890793,0.006734641252082382,0.451532058068472,0.46485305224037626,0.6308059048347485,0.009260131721613312,0.6927870591355078,0.006604952805251493,20.0,16,27,0.001
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.1,4927,3,0.4688076143624447,0.004891530018702625,0.4636895926148124,0.4734357931769899,0.6446104697483616,0.006725853775716111,0.7021252415047163,0.004147809430820459,10.333333333333334,9,11,0.001
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.25,12320,3,0.4711611930764619,0.005730750433200486,0.465891134513712,0.47726196363302137,0.6478466404801352,0.007879781845650668,0.7057241353184075,0.006843143200221514,15.0,11,18,0.001
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.5,24639,3,0.46936467183031655,0.013244476411890036,0.4543463660510284,0.4793746294034498,0.6453764237666854,0.01821115506634883,0.7017274690305717,0.01631421436521829,13.666666666666666,8,22,0.001
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,0.7,34497,3,0.46742817920406105,0.004956666559730442,0.4625152649347836,0.4724274690939941,0.6412707179198268,0.005772709175292171,0.6979391597530022,0.005156451158038008,16.333333333333332,13,19,0.001
vitb16_full_old,ViT-B/16 IN-Full,ft_old,ImageNet,sota_screening,1.0,49281,3,0.4746724448992099,0.0015339723254950064,0.4736252945328187,0.4764332258769319,0.6512252267797691,0.0017200828854094384,0.7080160624313369,0.002448300200947285,12.666666666666666,9,18,0.001
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.01,492,3,0.41023002526766844,0.005364042399973696,0.40476610515299993,0.4154882738287382,0.5640662847430441,0.007375558299963839,0.6433496230632268,0.0027886562610022914,35.666666666666664,31,45,0.01
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.05,2463,3,0.4601789650046338,0.005142047219513978,0.4545082904105299,0.4645385190984539,0.6327460768813714,0.007070314926831801,0.6943023828465357,0.00458886082627373,24.666666666666668,20,27,0.001
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.1,4927,3,0.466946339913829,0.004431217248910288,0.4639514706255319,0.4720366501147637,0.6420512173815148,0.00609292371725167,0.7006478008864644,0.00535148132341834,15.0,10,24,0.001
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.25,12320,3,0.4684999476721618,0.005762959172081679,0.464253060775236,0.47506013116063384,0.6441874280492225,0.00792406886161232,0.7028260787210668,0.005666055789477662,20.333333333333332,13,26,0.001
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.5,24639,3,0.4755837864731251,0.004317620557453426,0.4716011557728706,0.4801723767041972,0.653927706400547,0.005936728266498452,0.7105163465545328,0.0030980287418758195,11.0,8,14,0.001
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,0.7,34497,3,0.4782906584412265,0.0040983098829860815,0.4748140650816304,0.4828094439010757,0.6554944829428933,0.0023488553949156097,0.7099102170701216,0.0022248860041427223,10.333333333333334,9,11,0.001
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,ImageNet,sota_screening,1.0,49281,3,0.4687417680652947,0.0049354963720345734,0.465719564544947,0.47443722626936347,0.6431075017112492,0.008345478846624734,0.7016138197522447,0.006787869053072207,16.0,11,19,0.001
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.01,492,3,0.24076288860457074,0.013068451821604503,0.23126138418481837,0.25566625098792783,0.33011603131501094,0.01711233759263796,0.42063492063492064,0.030010529650464215,15.333333333333334,9,21,0.1
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.05,2463,3,0.257763383558332,0.03215274310399232,0.236773938495889,0.29477944252061106,0.35442465239270654,0.04421002176798941,0.4465848391862712,0.05362033292684202,11.666666666666666,2,18,0.1
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.1,4927,3,0.2583784087031858,0.04975773606288844,0.22722301268279302,0.3157632624670739,0.35426740625086,0.06926258442436337,0.43480319733303024,0.08230643105903412,18.333333333333332,2,29,0.1
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.25,12320,3,0.2800732663817638,0.038794223678183165,0.25446083715509765,0.32470705383099924,0.38288359940226363,0.05512463043973167,0.4541235746486343,0.05360326775551666,5.333333333333333,1,8,1.0
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.5,24639,3,0.34205739646677263,0.013940244588789915,0.32862118244751515,0.35645219116164806,0.4696829253097711,0.020111234214663636,0.5457438345266508,0.023372617207478304,2.3333333333333335,2,3,1.0
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,0.7,34497,3,0.3366311367029711,0.010664921558323007,0.32838732239632396,0.3486758082793558,0.4628678129665853,0.014664267142694077,0.5404402015380536,0.015013359307845028,2.6666666666666665,2,3,1.0
vitb16_scratch_old,ViT-B/16 IN-Scratch,ft_old,aléatoire,sota_screening,1.0,49281,3,0.3548967760830817,0.011032427027567796,0.34444385737476074,0.366429328837798,0.48073477557613226,0.006170795477656877,0.5540781149373036,0.0004031480216273282,2.0,2,2,1.0
