tier,family,metric,label,rho,p,p_bh_global,p_bh_family,pairs_ok,pairs_total,pair_acc,pred_best,pred_best_correct
12,spectrale,stable_rank,Stable rank,-0.4798606308117672,0.11438935771004499,0.2669085013234383,0.22877871542008998,21,65,0.3230769230769231,simdinov2_vitl16_lora,False
12,spectrale,participation_ratio,Participation ratio,-0.54641064530391,0.06604060406823516,0.20931758886892665,0.22877871542008998,20,65,0.3076923076923077,simdinov2_vitl16_lora,False
12,spectrale,rankme_sigma_raw,RankMe (σ),-0.0770579115172181,0.8118586763333356,0.8118586763333356,0.8118586763333356,32,65,0.49230769230769234,ctxdistill_dB_tL,True
12,voisinage,knn_purity,Pureté k-NN,0.11908949961751886,0.7123998368899923,0.7936316859205464,0.7123998368899923,35,65,0.5384615384615384,ctxdistill_dB_tL,True
12,voisinage,aniso_cosine,Anisotropie,-0.17162898474289487,0.5937868060168403,0.7752920111841166,0.7123998368899923,34,65,0.5230769230769231,dinov3_vitl16_lvd_lora,False
12,voisinage,intrinsic_dim_twonn,Dim. intrinsèque,-0.3537658665108649,0.2592665286763142,0.5185330573526284,0.5185330573526284,42,65,0.6461538461538462,ctxdistill_dB_tL,True
12,voisinage,dbi,Davies-Bouldin,-0.5954474980875943,0.04107478346764912,0.20931758886892665,0.16429913387059647,45,65,0.6923076923076923,ctxdistill_dA_tEMA,False
12,transférabilité,logme_train,LogME (train),0.10858160259244368,0.7369437083547932,0.7936316859205464,0.7369437083547932,34,65,0.5230769230769231,simdinov2_vitb16_lora_r8_b911,False
12,transférabilité,logme_test,LogME (test),0.3082316460688724,0.32969829123223027,0.5769720096564029,0.6593965824644605,40,65,0.6153846153846154,simdinov2_vitl16_lora,False
35,séparabilité,fisher_ratio,Ratio de Fisher,0.48315473504844425,0.0032818099929321156,0.03566957206936582,0.013127239971728462,411,592,0.6942567567567568,dinov3_vits16_lvd_lora_r8,False
35,séparabilité,silhouette,Silhouette,0.37626953271676467,0.02589497138052575,0.0725059198654721,0.02589497138052575,376,592,0.6351351351351351,dinov3_vitb16_lvd_lora_r8,False
35,séparabilité,chi,Calinski-Harabasz,0.42978217661021373,0.009974194394544151,0.03566957206936582,0.013588408407377456,396,592,0.668918918918919,dinov3_vits16_lvd_lora_r8,False
35,séparabilité,nc1_canonical,NC1 (intra/inter),-0.42866149296846606,0.010191306305533093,0.03566957206936582,0.013588408407377456,396,592,0.668918918918919,dinov3_vits16_lvd_lora_r8,False
35,spectrale,eff_rank_sigma2,Rang effectif (σ²),-0.2448693757218558,0.15626536461527632,0.27346438807673357,0.3409771437115023,240,592,0.40540540540540543,simdinov2_vitb16_full,False
35,spectrale,stable_rank,Stable rank,-0.19738040640280022,0.2557328577836267,0.3361042948503178,0.3409771437115023,250,592,0.4222972972972973,simdinov2_vitb16_full,False
35,spectrale,participation_ratio,Participation ratio,-0.22147510470037415,0.20102819632506916,0.31271052761677426,0.3409771437115023,242,592,0.40878378378378377,simdinov2_vitb16_full,False
35,spectrale,rankme_sigma_raw,RankMe (σ),0.041605380199880526,0.8124208069888778,0.8749147152187914,0.8124208069888778,298,592,0.5033783783783784,resnet50_fulft_sota,False
35,voisinage,knn_purity,Pureté k-NN,0.24739091391578794,0.15191121985144446,0.27346438807673357,0.20254829313525927,342,592,0.5777027027027027,ctxdistill_dB_tL,True
35,voisinage,aniso_cosine,Anisotropie,-0.2712054413029249,0.11504856946291377,0.2684466620801321,0.20254829313525927,337,592,0.5692567567567568,dinov3_vitl16_lvd_lora,False
35,voisinage,intrinsic_dim_twonn,Dim. intrinsèque,-0.19401835547755736,0.2640819459538211,0.3361042948503178,0.2640819459538211,344,592,0.581081081081081,simdinov2_vitb16_norm_tuning,False
35,voisinage,dbi,Davies-Bouldin,-0.43160328752805355,0.009629765434844196,0.03566957206936582,0.03851906173937678,399,592,0.6739864864864865,ctxdistill_dA_tEMA,False
35,transférabilité,logme_train,LogME (train),-0.008685298223544084,0.9605067459782497,0.9605067459782497,0.9605067459782497,297,592,0.5016891891891891,simdinov2_vitl16,False
35,transférabilité,logme_test,LogME (test),0.11921272239090346,0.4951775770746841,0.5777071732537982,0.9605067459782497,330,592,0.5574324324324325,simdinov2_vitl16_lora,False
42,séparabilité,fisher_ratio,Ratio de Fisher,0.42069710038039076,0.006870339334874117,0.019236950137647528,0.013740678669748234,524,777,0.6743886743886743,vitb16_scratch_old,False
42,séparabilité,silhouette,Silhouette,0.5813200789377567,8.369159713817027e-05,0.0005858411799671919,0.0003347663885526811,558,777,0.7181467181467182,dinov3_vitb16_lvd_lora_r8,False
42,séparabilité,chi,Calinski-Harabasz,0.22395271601427136,0.16477025630350015,0.21156214451089125,0.16622739925855742,466,777,0.5997425997425997,vitb16_scratch_old,False
42,séparabilité,nc1_canonical,NC1 (intra/inter),-0.22320214134811545,0.16622739925855742,0.21156214451089125,0.16622739925855742,466,777,0.5997425997425997,vitb16_scratch_old,False
42,spectrale,eff_rank_sigma2,Rang effectif (σ²),0.13294553774286655,0.4134723048501346,0.4452778667616834,0.4880442844016831,413,777,0.5315315315315315,simdinov2_vitb16_full,False
42,spectrale,stable_rank,Stable rank,0.13669841107364614,0.4002917606728225,0.4452778667616834,0.4880442844016831,416,777,0.5353925353925354,simdinov2_vitb16_full,False
42,spectrale,participation_ratio,Participation ratio,0.11286766542319583,0.4880442844016831,0.4880442844016831,0.4880442844016831,405,777,0.5212355212355212,simdinov2_vitb16_full,False
42,spectrale,rankme_sigma_raw,RankMe (σ),0.28653187880502085,0.07305014252080587,0.12783774941141027,0.2922005700832235,459,777,0.5907335907335908,resnet50_fulft_sota,False
42,voisinage,knn_purity,Pureté k-NN,0.4781160623413183,0.001806462922304518,0.006322620228065813,0.0024086172297393574,522,777,0.6718146718146718,ctxdistill_dB_tL,True
42,voisinage,aniso_cosine,Anisotropie,-0.49810011282771954,0.0010726782789381723,0.005005831968378138,0.0021453565578763447,512,777,0.6589446589446589,dinov3_vitl16_lvd_lora,False
42,voisinage,intrinsic_dim_twonn,Dim. intrinsèque,-0.3215274226145404,0.0430618507348743,0.0861237014697486,0.0430618507348743,487,777,0.6267696267696268,simdinov2_vitb16_norm_tuning,False
42,voisinage,dbi,Davies-Bouldin,-0.5824459409369906,8.046325306658375e-05,0.0005858411799671919,0.000321853012266335,568,777,0.731016731016731,ctxdistill_dA_tEMA,False
42,transférabilité,logme_train,LogME (train),0.27377210948037023,0.08737459628933529,0.13591603867229934,0.08737459628933529,461,777,0.5933075933075933,simdinov2_vitl16,False
42,transférabilité,logme_test,LogME (test),0.34610874293114663,0.02869264174787941,0.06694949741171861,0.05738528349575882,493,777,0.6344916344916345,simdinov2_vitl16_lora,False
