target,population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
delta_nonlinearite,all,20,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.3669172932330827,-0.8058042488619119,0.1672299270240813,0.1115351994023919,0.35075303323219015,False,False,-0.5614035087719299,-0.2614035087719298
delta_nonlinearite,all,20,nc1_canonical,NC1 — dispersion intra / inter,0.010526315789473682,-0.46715388397303276,0.4711368149302015,0.9648685868194994,0.9648685868194994,False,False,-0.1280701754385965,0.13508771929824562
delta_nonlinearite,all,20,silhouette,Silhouette,0.2270676691729323,-0.23961449520148245,0.640437400532958,0.335674431013418,0.5164222015591046,False,False,0.13508771929824562,0.38421052631578945
delta_nonlinearite,all,20,dbi,Davies-Bouldin,-0.12180451127819547,-0.5390944484515533,0.34349947494749467,0.6089566221649011,0.7611957777061263,False,False,-0.2719298245614035,-0.028070175438596492
delta_nonlinearite,all,20,chi,Calinski-Harabasz,-0.019548872180451125,-0.47793165928728326,0.45897374165754184,0.9348031235214638,0.9648685868194994,False,False,-0.1456140350877193,0.11754385964912278
delta_nonlinearite,all,20,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,0.019548872180451125,-0.4769605900205323,0.5334497675530764,0.9348031235214638,0.9648685868194994,False,False,-0.10701754385964912,0.18947368421052632
delta_nonlinearite,all,20,logme_train,LogME (train),0.3142857142857143,-0.1765935070636262,0.6893939393939394,0.17716966765175685,0.35075303323219015,False,False,0.2368421052631579,0.43684210526315786
delta_nonlinearite,all,20,logme_test,LogME (test),0.3037593984962406,-0.1883779834161282,0.646433990895296,0.19291416827770458,0.35075303323219015,False,False,0.19824561403508772,0.40175438596491225
delta_nonlinearite,frozen,9,rankme_sigma_raw,"RankMe (σ, bruts)",0.5666666666666667,-0.17857142857142855,0.8584070796460177,0.1116329876114912,0.20296906838452944,False,False,0.4285714285714286,0.6904761904761906
delta_nonlinearite,frozen,9,rankme_sigma_centered,"RankMe (σ, centrés)",0.6,-0.1320754716981132,0.894736842105263,0.08762282904140249,0.19837163295976654,False,False,0.5000000000000001,0.7142857142857144
delta_nonlinearite,frozen,9,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.6666666666666667,-0.019595864661654035,0.9473684210526315,0.049867230568885125,0.19837163295976654,False,False,0.5476190476190477,0.8333333333333335
delta_nonlinearite,frozen,9,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.6333333333333333,-0.18555895344886167,0.9999999999999998,0.06708578689234572,0.19837163295976654,False,False,0.4761904761904762,0.8571428571428572
delta_nonlinearite,frozen,9,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.5833333333333334,-0.25010869565217386,0.982463768115942,0.09918581647988327,0.19837163295976654,False,False,0.4047619047619048,0.7857142857142858
delta_nonlinearite,frozen,9,stable_rank,Stable rank (= NESum),0.6666666666666667,-0.019595864661654035,0.9473684210526315,0.049867230568885125,0.19837163295976654,False,False,0.5476190476190477,0.8333333333333335
delta_nonlinearite,frozen,9,participation_ratio,Participation ratio,0.6666666666666667,-0.019595864661654035,0.9473684210526315,0.049867230568885125,0.19837163295976654,False,False,0.5476190476190477,0.8333333333333335
delta_nonlinearite,frozen,9,alpha_spectral,Exposant spectral α,-0.65,-0.9829059829059827,0.10526315789473685,0.058073058017148654,0.19837163295976654,False,False,-0.7857142857142858,-0.5000000000000001
delta_nonlinearite,frozen,9,aniso_cosine,Anisotropie (cosinus moyen),-0.5833333333333334,-0.9402222222222223,0.24830194387716467,0.09918581647988327,0.19837163295976654,False,False,-0.7857142857142858,-0.4285714285714286
delta_nonlinearite,frozen,9,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),-0.5166666666666667,-0.8974358974358972,0.3162393162393162,0.15439012098622507,0.2573168683103751,False,False,-0.6904761904761906,-0.30952380952380953
delta_nonlinearite,frozen,9,fisher_ratio,Ratio de Fisher,-0.3666666666666667,-0.7948717948717948,0.3684210526315789,0.3317398014330152,0.3953550805575433,False,False,-0.5952380952380953,-0.2380952380952381
delta_nonlinearite,frozen,9,knn_purity,Pureté k-NN (k=10),0.7333333333333334,0.10526315789473685,0.9826235600148644,0.024554150071469705,0.19837163295976654,True,False,0.6190476190476191,0.880952380952381
delta_nonlinearite,frozen,9,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.6,-0.9826235600148644,0.2631578947368421,0.08762282904140249,0.19837163295976654,False,False,-0.7619047619047621,-0.4285714285714286
delta_nonlinearite,frozen,9,nc1_canonical,NC1 — dispersion intra / inter,0.35,-0.45314889788573987,0.8421052631578948,0.35581957250178897,0.3953550805575433,False,False,0.14285714285714288,0.6428571428571429
delta_nonlinearite,frozen,9,silhouette,Silhouette,0.48333333333333334,-0.2456140350877193,0.982608695652174,0.18746985521554216,0.2884151618700649,False,False,0.3571428571428572,0.6666666666666669
delta_nonlinearite,frozen,9,dbi,Davies-Bouldin,-0.43333333333333335,-0.9478260869565218,0.4213043478260868,0.24395243588005172,0.3485034798286453,False,False,-0.6428571428571429,-0.19047619047619052
delta_nonlinearite,frozen,9,chi,Calinski-Harabasz,-0.35,-0.8421052631578948,0.45314889788573975,0.35581957250178897,0.3953550805575433,False,False,-0.6428571428571429,-0.14285714285714288
delta_nonlinearite,frozen,9,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.11666666666666665,-0.7217391304347827,0.6842105263157895,0.765007942926146,0.765007942926146,False,False,-0.3571428571428572,0.04761904761904763
delta_nonlinearite,frozen,9,logme_train,LogME (train),0.3,-0.7368421052631579,0.8596491228070176,0.43284532670948234,0.4556266596941919,False,False,0.023809523809523815,0.5000000000000001
delta_nonlinearite,frozen,9,logme_test,LogME (test),0.39999999999999997,-0.6317391304347826,0.9487179487179486,0.286105101908313,0.381473469211084,False,False,0.14285714285714288,0.6428571428571429
delta_nonlinearite,top8,8,rankme_sigma_raw,"RankMe (σ, bruts)",0.1666666666666667,-0.6962025316455697,0.8987341772151901,0.693238811728395,0.693238811728395,False,False,0.0,0.5714285714285715
delta_nonlinearite,top8,8,rankme_sigma_centered,"RankMe (σ, centrés)",0.1666666666666667,-0.6510443037974684,1.0,0.693238811728395,0.693238811728395,False,False,-0.03571428571428572,0.5714285714285715
delta_nonlinearite,top8,8,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.4523809523809524,-0.3924050632911393,0.9746835443037977,0.2604047674368853,0.5786772609708561,False,False,0.25,0.7857142857142859
delta_nonlinearite,top8,8,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.7380952380952381,-0.06172839506172839,1.0,0.03655276105286081,0.23264116142083627,False,False,0.6071428571428572,0.8571428571428573
delta_nonlinearite,top8,8,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.7142857142857144,-0.07509615384615385,1.0,0.046528232284167255,0.23264116142083627,False,False,0.5714285714285715,0.9285714285714288
delta_nonlinearite,top8,8,stable_rank,Stable rank (= NESum),0.6666666666666669,0.05340614587189933,0.9746835443037977,0.07098765432098755,0.23662551440329183,True,False,0.5714285714285715,0.7857142857142859
delta_nonlinearite,top8,8,participation_ratio,Participation ratio,0.4761904761904762,-0.2821462488129155,0.9240506329113927,0.23293553465009798,0.5786772609708561,False,False,0.28571428571428575,0.7142857142857144
delta_nonlinearite,top8,8,alpha_spectral,Exposant spectral α,-0.5476190476190477,-0.9259259259259259,0.2658227848101266,0.16002564253889653,0.45721612153970437,False,False,-0.7500000000000002,-0.3214285714285715
delta_nonlinearite,top8,8,aniso_cosine,Anisotropie (cosinus moyen),-0.19047619047619052,-0.9178082191780822,0.8227848101265823,0.6514014957024814,0.693238811728395,False,False,-0.3571428571428572,0.21428571428571433
delta_nonlinearite,top8,8,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),-0.7380952380952381,-1.0,0.037037037037037035,0.03655276105286081,0.23264116142083627,False,False,-0.8928571428571429,-0.6071428571428572
delta_nonlinearite,top8,8,fisher_ratio,Ratio de Fisher,-0.19047619047619052,-0.9054142204827137,0.6002631578947367,0.6514014957024814,0.693238811728395,False,False,-0.42857142857142866,0.07142857142857144
delta_nonlinearite,top8,8,knn_purity,Pureté k-NN (k=10),0.38095238095238104,-0.6153846153846154,0.973684210526316,0.35181255311756476,0.693238811728395,False,False,0.07142857142857144,0.642857142857143
delta_nonlinearite,top8,8,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.8571428571428572,-1.0,-0.3424657534246575,0.0065300172547152905,0.13060034509430582,True,False,-0.8928571428571429,-0.7857142857142859
delta_nonlinearite,top8,8,nc1_canonical,NC1 — dispersion intra / inter,0.261904761904762,-0.5384615384615385,0.9191268191268189,0.530922861565801,0.693238811728395,False,False,0.03571428571428572,0.42857142857142866
delta_nonlinearite,top8,8,silhouette,Silhouette,-0.261904761904762,-0.919126819126819,0.5384615384615385,0.530922861565801,0.693238811728395,False,False,-0.42857142857142866,-0.03571428571428572
delta_nonlinearite,top8,8,dbi,Davies-Bouldin,-0.28571428571428575,-0.8461538461538464,0.6296296296296297,0.49272624501695717,0.693238811728395,False,False,-0.5357142857142858,0.0
delta_nonlinearite,top8,8,chi,Calinski-Harabasz,-0.261904761904762,-0.919126819126819,0.5384615384615385,0.530922861565801,0.693238811728395,False,False,-0.42857142857142866,-0.03571428571428572
delta_nonlinearite,top8,8,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.6666666666666669,-1.0,0.09374999999999999,0.07098765432098755,0.23662551440329183,False,False,-0.8214285714285715,-0.5
delta_nonlinearite,top8,8,logme_train,LogME (train),0.3333333333333334,-0.6296296296296297,0.9230769230769231,0.4197530864197532,0.693238811728395,False,False,0.07142857142857144,0.642857142857143
delta_nonlinearite,top8,8,logme_test,LogME (test),0.2380952380952381,-0.6842105263157896,0.9747147991873731,0.5701563208157683,0.693238811728395,False,False,-0.14285714285714288,0.5357142857142858
