target,population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
delta_f1_pres,all,20,dbi,Davies-Bouldin,-0.47368421052631576,-0.7507834628367106,-0.08180077882693511,0.03487999137949654,0.05468060564912614,True,False,-0.5859649122807017,-0.42280701754385963
delta_f1_pres,all,20,chi,Calinski-Harabasz,-0.12330827067669171,-0.5381185506566603,0.3586292806641876,0.604508830626885,0.6766184690721123,False,False,-0.21228070175438596,0.010526315789473684
delta_f1_pres,all,20,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.45714285714285713,-0.74536308973173,-0.03267638041221114,0.042718510627877036,0.06102644375411005,True,False,-0.5824561403508772,-0.3666666666666667
delta_f1_pres,all,20,logme_train,LogME (train),0.6917293233082705,0.28410787506168966,0.9031806609961103,0.0007284845298314555,0.004856563532209703,True,True,0.6403508771929824,0.7789473684210525
delta_f1_pres,all,20,logme_test,LogME (test),0.6015037593984961,0.11798633387579434,0.8618056808674677,0.005023202586882035,0.012558006467205087,True,True,0.5456140350877193,0.6982456140350877
delta_f1_pres,frozen,9,rankme_sigma_raw,"RankMe (σ, bruts)",0.7,-0.08928571428571427,0.980056603773585,0.03576957497026173,0.05961595828376955,False,False,0.5714285714285715,0.8095238095238096
delta_f1_pres,frozen,9,rankme_sigma_centered,"RankMe (σ, centrés)",0.38333333333333336,-0.4647556390977443,0.9482758620689655,0.3084952723803716,0.41132702984049546,False,False,0.11904761904761905,0.6190476190476191
delta_f1_pres,frozen,9,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.8166666666666667,0.2693897088153171,1.0,0.0072247852463587885,0.027508356358228108,True,True,0.7380952380952381,0.9047619047619048
delta_f1_pres,frozen,9,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.8166666666666667,0.30270901852172405,1.0,0.0072247852463587885,0.027508356358228108,True,True,0.7380952380952381,0.9047619047619048
delta_f1_pres,frozen,9,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.7833333333333333,0.21739130434782608,0.9999999999999999,0.012519873019449885,0.03129968254862471,True,True,0.6904761904761906,0.8571428571428572
delta_f1_pres,frozen,9,stable_rank,Stable rank (= NESum),0.8166666666666667,0.2693897088153171,1.0,0.0072247852463587885,0.027508356358228108,True,True,0.7380952380952381,0.9047619047619048
delta_f1_pres,frozen,9,participation_ratio,Participation ratio,0.8166666666666667,0.2693897088153171,1.0,0.0072247852463587885,0.027508356358228108,True,True,0.7380952380952381,0.9047619047619048
delta_f1_pres,frozen,9,alpha_spectral,Exposant spectral α,-0.35,-0.8782608695652175,0.5130669800235018,0.35581957250178897,0.41861126176681057,False,False,-0.5952380952380953,-0.11904761904761905
delta_f1_pres,frozen,9,aniso_cosine,Anisotropie (cosinus moyen),-0.9166666666666666,-1.0,-0.578260869565218,0.0005066190663052083,0.010132381326104167,True,True,-0.9523809523809524,-0.880952380952381
delta_f1_pres,frozen,9,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),-0.7166666666666667,-0.9816513761467889,-0.052631578947368425,0.02981803569584528,0.05421461035608233,True,False,-0.8333333333333335,-0.5952380952380953
delta_f1_pres,frozen,9,fisher_ratio,Ratio de Fisher,-0.7999999999999999,-1.0,-0.18867924528301885,0.009627924725379839,0.027508356358228108,True,True,-0.9523809523809524,-0.7142857142857144
delta_f1_pres,frozen,9,knn_purity,Pureté k-NN (k=10),0.26666666666666666,-0.7620901475867571,0.894736842105263,0.48792227483870076,0.5136023945670535,False,False,-0.04761904761904763,0.4761904761904762
delta_f1_pres,frozen,9,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.26666666666666666,-0.8421052631578948,0.6176028202115158,0.48792227483870076,0.5136023945670535,False,False,-0.4523809523809524,0.0
delta_f1_pres,frozen,9,nc1_canonical,NC1 — dispersion intra / inter,0.7666666666666667,0.052631578947368425,1.0,0.01594401657897403,0.03188803315794806,True,True,0.6666666666666669,0.9047619047619048
delta_f1_pres,frozen,9,silhouette,Silhouette,0.5499999999999999,-0.20769612711022836,0.8974358974358972,0.12497678418833194,0.17853826312618848,False,False,0.4523809523809524,0.7380952380952381
delta_f1_pres,frozen,9,dbi,Davies-Bouldin,0.03333333333333333,-0.7043478260869566,0.8119658119658117,0.9321567355405039,0.9321567355405038,False,False,-0.2380952380952381,0.261904761904762
delta_f1_pres,frozen,9,chi,Calinski-Harabasz,-0.7666666666666667,-1.0,-0.052631578947368425,0.01594401657897403,0.03188803315794806,True,True,-0.9047619047619048,-0.6666666666666669
delta_f1_pres,frozen,9,nc2_mean_cos,NC2 — cosinus moyen des centroïdes,-0.3666666666666667,-0.9999999999999998,0.47368421052631576,0.3317398014330152,0.414674751791269,False,False,-0.7857142857142858,-0.19047619047619052
delta_f1_pres,frozen,9,logme_train,LogME (train),0.7999999999999999,0.2454954954954955,1.0,0.009627924725379839,0.027508356358228108,True,True,0.7142857142857144,0.880952380952381
delta_f1_pres,frozen,9,logme_test,LogME (test),0.6,-0.08811594202898548,0.9473684210526315,0.08762282904140249,0.13480435237138846,False,False,0.4761904761904762,0.7619047619047621
delta_f1_pres,top8,8,rankme_sigma_raw,"RankMe (σ, bruts)",-0.1666666666666667,-0.8758445945945946,0.7471649037627882,0.693238811728395,0.8656057175056612,False,False,-0.6071428571428572,0.03571428571428572
delta_f1_pres,top8,8,rankme_sigma_centered,"RankMe (σ, centrés)",-0.261904761904762,-1.0,0.5949367088607596,0.530922861565801,0.8656057175056612,False,False,-0.7500000000000002,-0.10714285714285716
