model,fraction,seed,n,dim,rankme_sigma_raw,rankme_sigma_centered,eff_rank_sigma2,rankme_sigma_raw_norm,eff_rank_sigma2_norm,stable_rank,participation_ratio,alpha_spectral,alpha_r2,aniso_cosine,aniso_spectral,fisher_ratio,knn_purity,intrinsic_dim_twonn,nc1_canonical,nc1_inverse,silhouette,dbi,chi,nc2_mean_cos,nc2_std_cos,emb_dir
simdinov2_vitb16_full,1.0,1,17598,768,472.3415792101366,505.4570198044132,78.64848707547256,0.6150280979298653,0.10240688421285489,6.427017406006647,19.229314668759322,1.4732207289732469,0.8307707765404274,0.2707119286060333,119.4955531444854,0.2590673460138551,0.69476,9.172602587681444,3.245493690837588,0.30811953288426036,0.02169148741476064,4.460271454128859,541.8898224837146,-0.09016123093331115,0.342006239962985,ft_ssl_results/simdinov2_vitb16_full_embeddings/simdinov2_vitb16_full_frac100_seed1
simdinov2_vitb16_full,1.0,2,17598,768,539.6486910669087,564.6330903427821,143.75823489098772,0.7026675664933707,0.1871852016809736,9.112658750151521,35.88035724161903,1.3358724577891963,0.7911348861910783,0.2080429643392563,84.2783671655904,0.18986372549059832,0.69166,9.543756266897136,4.646958881178203,0.2151945015158477,0.021095411021376267,4.949146686837814,378.46256981600163,-0.0888455691970671,0.3161116518324406,ft_ssl_results/simdinov2_vitb16_full_embeddings/simdinov2_vitb16_full_frac100_seed2
simdinov2_vitb16_lora,1.0,0,17598,768,421.5258672743004,475.57007200678385,59.99161090154893,0.5488618063467453,0.07811407669472517,4.915156063323243,15.114260790308272,1.524144589939131,0.8590182449673476,0.42784732580184937,156.25139672182425,0.319785377884279,0.6968,9.661349380443959,2.6098936663720558,0.38315737261039085,0.02148849529176904,4.35637489958863,673.8588712101509,-0.08367823843877073,0.3710521025835413,ViTB_L_LoRA/lora_3models/simdinov2_vitb16/embeddings/frac100_seed0
simdinov2_vitb16_lora,1.0,1,17598,768,422.8088277519835,474.6641511494632,56.56723991948581,0.5505323278020618,0.07365526031183048,4.558201052459386,13.880980648563872,1.5169480321601287,0.856072335723898,0.40886956453323364,168.48752197659735,0.3440564476307992,0.69984,9.642014428295347,2.3865632977181446,0.4190125612656941,0.024001025340212583,4.2897296274241405,736.917391498283,-0.0835621203623039,0.38003600291161543,ViTB_L_LoRA/lora_3models/simdinov2_vitb16/embeddings/frac100_seed1
simdinov2_vitb16_lora,1.0,2,17598,768,425.1378191068806,474.66405252586765,57.77365370325146,0.5535648686287508,0.07522611159277534,5.194160428200158,15.027171793555244,1.5155566605397828,0.8559410764198401,0.3935873508453369,147.85835181954934,0.33123759794575175,0.69748,9.637649543032119,2.5545923360031324,0.39145189074049674,0.023902171443549825,4.247628959840823,688.4464402455798,-0.08635632404163783,0.3554985478695254,ViTB_L_LoRA/lora_3models/simdinov2_vitb16/embeddings/frac100_seed2
simdinov2_vitb16_lora_r16,1.0,0,17598,768,429.5831343850142,482.30239379051426,60.69730072498525,0.5593530395638205,0.07903294365232454,5.003865255718475,15.057501852033994,1.494227773764803,0.8538522235717827,0.4151877462863922,153.48135106602254,0.3137153598019563,0.69494,9.705798407526656,2.6967962822243265,0.3708103599040955,0.020650087142128633,4.410766766853285,652.1441799635728,-0.0855875336893558,0.3732234112267163,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a16_frac100_seed0
simdinov2_vitb16_lora_r16,1.0,1,17598,768,429.5168678137108,481.2466199803379,59.06007143804997,0.5592667549657693,0.07690113468496089,4.7267774214778475,14.454580409556842,1.493249773574058,0.8530220273173728,0.4068933427333832,162.4785623520816,0.3356180352784079,0.6983,9.53853191150411,2.4834390985439634,0.40266741414593005,0.026158357597867807,4.278510822506688,708.1711812587305,-0.0844892681106439,0.37341018059350284,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a16_frac100_seed1
simdinov2_vitb16_lora_r16,1.0,2,17598,768,428.5462791530555,478.5268107166202,58.85985737260532,0.5580029676472077,0.07664043928724651,5.362168917426564,15.35405715404398,1.4991159603975277,0.8535622089255034,0.39569300413131714,143.22562601563513,0.329891841421487,0.69864,9.772599858188746,2.5803697446518883,0.38754135994356115,0.025158484858444175,4.265505644740785,681.5689897330035,-0.08786042207435181,0.3543510527816773,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a16_frac100_seed2
simdinov2_vitb16_lora_r16_rslora,1.0,0,17598,768,448.49793916037453,496.60562807132465,64.5537674496925,0.583981691615071,0.08405438470012044,5.531875167054882,15.890491635206589,1.4396859292611994,0.842755600221831,0.3784407377243042,138.83176622889627,0.3066961249388783,0.69682,9.842320585384135,2.842335611388431,0.35182333711505864,0.02219392250219232,4.436045588960263,618.75170298447,-0.08930729037245971,0.36113995908093893,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a64_frac100_seed0
simdinov2_vitb16_lora_r16_rslora,1.0,1,17598,768,445.3820370559499,494.3443355897695,62.399135608277824,0.5799245274166015,0.08124887448994508,4.86914961670526,14.672152587018688,1.4514086988694188,0.8424751464357321,0.38462328910827637,157.72774723642027,0.31385126202769853,0.6945,9.802237279034168,2.6506174595246557,0.37727058516356266,0.023135973677452876,4.416005263361882,663.5057781274065,-0.08657703904576862,0.3817031718100708,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a64_frac100_seed1
simdinov2_vitb16_lora_r16_rslora,1.0,2,17598,768,462.30819085678417,504.4168826307895,70.67996737869937,0.6019637901781044,0.09203120752434814,5.776752775461018,17.27733254510832,1.4297275117668957,0.8364671292539017,0.3343510329723358,132.9466622255977,0.29783055338764797,0.69422,9.858412570104251,2.8872166535770183,0.3463543335969394,0.021299250014817077,4.45109773828583,609.1333664971468,-0.08760376970770051,0.3561672592435732,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a64_frac100_seed2
simdinov2_vitb16_lora_r16_s2,1.0,0,17598,768,438.6520101304278,489.1145413396998,61.18727632678112,0.5711614715239945,0.07967093271716291,5.1038997282096155,14.962054738173538,1.4636863461355494,0.848277265885578,0.3958783745765686,150.47317559065857,0.3133317642806418,0.69638,9.819932190506242,2.735534218505088,0.3655593094887745,0.019849590039216103,4.4329812707474865,642.9091575981411,-0.08684360497171045,0.3728783406837661,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a32_frac100_seed0
simdinov2_vitb16_lora_r16_s2,1.0,1,17598,768,434.598432326445,485.615225251166,59.43185909148657,0.5658833754250586,0.07738523319203981,4.723374192133521,14.293132004030051,1.47636776234743,0.8493105753507866,0.39986443519592285,162.59562947162962,0.3300220365819127,0.69572,9.613221686276134,2.529514264276333,0.395332817103403,0.025536965568077143,4.3250096967168155,695.271825440028,-0.08523324052615108,0.3774944612037018,results/lora_simb_ablation/embeddings/simdinov2_vitb16_lora_r16a32_frac100_seed1
